国家领袖	苏联	勃列日涅夫	20	20	22	22	['1973年/O', '6月/O', '19日/O', '，/O', '戴维营/B-MISC', '美苏/I-MISC', '高层/I-MISC', '峰会/E-MISC', '期间/O', '，/O', '理/O', '乍得/O', '·/O', '尼克松/B-PERSON', '（/O', 'Richard/B-PERSON', 'Nixon/E-PERSON', '）/O', '总统/O', '赠与/O', '苏联/B-GPE', '领导人/O', '勃列日涅夫/B-PERSON', '一/O', '辆/O', '1973年/O', '款/O', '的/O', '林肯/O', '大陆/B-GPE', 'Continental/O']
品牌	宝马1系	宝马	2	4	33	33	['小结/O', '：/O', '宝马/B-ORGANIZATION', '1/I-ORGANIZATION', '系/E-ORGANIZATION', '三/O', '厢/O', '车型/O', '充分/O', '利用/O', '了/O', '前驱/O', '平台/O', '的/O', '便利/O', '和/O', '三/O', '厢/O', '车型/O', '的/O', '优势/O', '，/O', '完美/O', '打造/O', '了/O', '一/O', '款/O', '豪华/O', '家用/O', '轿车/O', '，/O', '保留/O', '了/O', '宝马/B-MISC', '性格/O', '之外/O', '还/O', '增加/O', '了/O', '诸多/O', '的/O', '实用性/O', '，/O', '打开/O', '市场/O', '只是/O', '时间/O', '问题/O']
中文名	季度	季度	13	13	21	21	['林肯/B-PERSON', '目前/O', '是/O', '中国/O', '成长/O', '最/O', '快/O', '的/O', '豪华/O', '汽车/O', '品牌/O', '，/O', '三/O', '季度/B-MISC', '销量/O', '达/O', '8,546/O', '辆/O', '，/O', '前/O', '三/O', '季度/B-MISC', '总/O', '销量/O', '达/O', '20,996/O', '辆/O', '，/O', '同比/O', '增幅/O', '均为/O', '191%/O']
中文名	林肯中心	林肯中心	11	12	30	31	['经销商/O', '网络/O', '方面/O', '，/O', '林肯/B-PERSON', '在/O', '中国/O', '共/O', '有/O', '53/O', '家/O', '林肯/B-FACILITY', '中心/E-FACILITY', '和/O', '三/O', '家/O', '分公司/O', '运营/O', '，/O', '并/O', '正/O', '按/O', '计划/O', '于/O', '2016年/O', '年底/O', '前/O', '建设/O', '65/O', '家/O', '林肯/B-FACILITY', '中心/E-FACILITY', '，/O', '在/O', '2017年/O', '年底/O', '前/O', '布局/O', '80/O', '家/O', '林肯/B-FACILITY', '中心/E-FACILITY']
中文名	林肯中心	林肯中心	30	31	40	41	['经销商/O', '网络/O', '方面/O', '，/O', '林肯/B-PERSON', '在/O', '中国/O', '共/O', '有/O', '53/O', '家/O', '林肯/B-FACILITY', '中心/E-FACILITY', '和/O', '三/O', '家/O', '分公司/O', '运营/O', '，/O', '并/O', '正/O', '按/O', '计划/O', '于/O', '2016年/O', '年底/O', '前/O', '建设/O', '65/O', '家/O', '林肯/B-FACILITY', '中心/E-FACILITY', '，/O', '在/O', '2017年/O', '年底/O', '前/O', '布局/O', '80/O', '家/O', '林肯/B-FACILITY', '中心/E-FACILITY']
中文名	兰托	兰托	11	11	30	30	['目前/O', '起亚/B-ORGANIZATION', '在/O', '国内/O', '中型/O', 'SUV/O', '市场/O', '中/O', '只/O', '拥有/O', '索/O', '兰托/B-PERSON', 'L/O', '这/O', '一/O', '款/O', '产品/O', '，/O', '但/O', '进口/O', '车型/O', '的/O', '身份/O', '、/O', '较/O', '高/O', '的/O', '售价/O', '使得/O', '索/O', '兰托/B-PERSON', 'L/O', '在与/O', '竞争/O', '对手/O', '的/O', '比拼/O', '中/O', '处于/O', '下风/O']
品牌	广汽传祺	广汽传祺	3	4	49	50	['EnLight/O', '展现/O', '了/O', '广汽/B-ORGANIZATION', '传祺/E-ORGANIZATION', '基于/O', '未来/O', '驾驶/O', '情境/O', '的/O', '，/O', '具有/O', '电动化/O', '、/O', '智能化/O', '、/O', '网联化/O', '、/O', '情感化/O', '特性/O', '的/O', '未来/O', '汽车/O', '畅想/O', '，/O', '其/O', '应用/O', '最先进/O', '的/O', '前瞻/O', '技术/O', '、/O', '最/O', '创新/O', '时尚/O', '的/O', '设计/O', '语言/O', '和/O', '最/O', '人性化/O', '的/O', '情感/O', '关爱/O', '，/O', '同时/O', '还/O', '将/O', '成为/O', '广汽/B-ORGANIZATION', '传祺/E-ORGANIZATION', '未来/O', '在/O', '新/O', '能源/O', '专属/O', '底盘/O', '系统/O', '、/O', '石墨烯/O', '材料/O', '、/O', '车/O', '联网/O', '大/O', '数据/O', '平台/O', '、/O', 'VR/O', '可/O', '穿戴/O', '设备/O', '等/O', '前瞻/O', '技术/O', '研究/O', '的/O', '先锋/O', '载体/O']
品牌	宝马3系	宝马3系	5	7	17	19	['新车/O', '上市/O', '后/O', '将/O', '与/O', '宝马/B-ORGANIZATION', '3/I-ORGANIZATION', '系/E-ORGANIZATION', '、/O', '奔驰/O', 'S级/O', '等/O', '车型/O', '展开/O', '竞争/O', '，/O', '目前/O', '宝马/B-ORGANIZATION', '3/I-ORGANIZATION', '系/E-ORGANIZATION', '、/O', '奔驰/O', 'S级/O', '已/O', '采用/O', '1.5T/O', '和/O', '1.6T/B-MISC', '小/O', '排量/O', '发动机/O', '，/O', '目前/O', 'S60/O', 'L/O', '搭载/O', '的/O', '1.5T/O', '发动机/O', '在/O', '动力/O', '输出/O', '方面/O', '已经/O', '超越/O', '宝马/B-ORGANIZATION', '3/I-ORGANIZATION', '系/E-ORGANIZATION']
公司名称	东风雪铁龙	东风雪铁龙	0	1	15	16	['东风/B-MISC', '雪铁龙/E-MISC', '新/O', 'C3-XR/O', '上市/O', '或/O', '亮相/O', '：/O', '11月/O', '11日/O', '日前/O', '从/O', '官方/O', '获悉/O', '，/O', '东风/B-MISC', '雪铁龙/E-MISC', '2017/O', '款/O', 'C3-XR/O', '1.2T（230/O', 'THP/O', 'PURETECH/O', '）/O', '车型/O', '将/O', '于/O', '11月/O', '11日/O', '正式/O', '上市/O']
中文名	东风标致	东风标致	257	258	308	309	['其/O', '核心/O', '要点/O', '主要/O', '有/O', '“/O', '舒适/O', '”/O', '”/O', '操控/O', '“/O', '“/O', '交互/O', '”/O', '三/O', '个/O', '方面/O', '。/O', '首先/O', '座椅/O', '按/O', '亚洲人/B-DEMONYM', '身材/O', '设计/O', '，/O', '座面/O', '、/O', '靠背/O', '的/O', '外形/O', '曲线/O', '和/O', '人体/O', '背部/O', '曲线/O', '吻合/O', '，/O', '座椅/O', '形状/O', '和/O', '体压/O', '分布/O', '能使/O', '乘客/O', '肌肉/O', '处于/O', '最/O', '放松/O', '状态/O', '。/O', '其次/O', '多功能/O', '方向盘/O', '小巧/O', '饱满/O', '，/O', '由/O', '顶级/O', '真皮/O', '包裹/O', '，/O', '软硬/O', '适中/O', '，/O', '握感/O', '出色/O', '，/O', '操作/O', '感受/O', '灵动/O', '而/O', '犀利/O', '。/O', '最后/O', '在/O', '驾驶员/O', '与/O', '车辆/O', '的/O', '交互/O', '沟通/O', '上/O', '，/O', '座舱/O', '内/O', '配有/O', '12.3/O', '寸/O', '彩色/O', '全/O', '液晶/O', '仪表盘/O', '、/O', '8/O', '寸/O', '触控屏/O', '、/O', '电子/O', '换挡/O', '等/O', '多/O', '项/O', '同级/O', '独享/O', '的/O', '超强/O', '配置/O', '，/O', '从/O', '视觉/O', '、/O', '听觉/O', '、/O', '嗅觉/O', '等/O', '方面/O', '为/O', '消费者/O', '带来/O', '极致/O', '感受/O', '的/O', '同时/O', '，/O', '也/O', '将/O', '驾驶/O', '交互/O', '完全/O', '带入/O', '了/O', '数字化/O', '时代/O', '。/O', '所以/O', '这/O', '次/O', '东风/O', '标致/O', '4008/O', '的/O', '产品/O', '十分/O', '优秀/O', '，/O', '在/O', '保留/O', '原本/O', '法国/O', '车/O', '一贯/O', '优秀/O', '设计/O', '水准/O', '的/O', '基础/O', '上/O', '，/O', '不仅/O', '在/O', '内饰/O', '设计/O', '和/O', '舒适性/O', '方面/O', '领先/O', '了/O', '翼/O', '虎/O', '一/O', '代/O', '，/O', '更/O', '值得/O', '一/O', '提/O', '的/O', '是/O', '在/O', '轴距/O', '上以/O', '2730/O', 'mm/O', '的/O', '数据/O', '也/O', '击败/O', '了/O', '翼/O', '虎/O', '的/O', '2690mm/O', '。/O', '所以/O', '翼/O', '虎/O', '在/O', '放弃/O', '了/O', '自己/O', '野性/O', '以后/O', '基本上/O', '全面/O', '的/O', '溃败/O', '了/O', '。/O', '产品/O', '力超翼虎/O', '，/O', '起步/O', '价/O', '还/O', '比翼/O', '虎/O', '低/O', '，/O', '这/O', '让/O', '翼/O', '虎/O', '怎么/O', '玩/O', '东风/O', '标致/O', '4008/O', '这/O', '次/O', '预售/O', '确实/O', '有备而来/O', '。/O', '别的/O', '先不/O', '说/O', '，/O', '就/O', '2730/O', 'mm/O', '轴距/O', '的/O', '紧凑/O', '级/O', '法国/B-ORGANIZATION', 'SUV/E-ORGANIZATION', '这/O', '一/O', '个/O', '标签/O', '就/O', '足以/O', '吸粉/O', '无数/O', '，/O', '更/O', '何况/O', '东风/B-MISC', '标致/E-MISC', '4008/O', '在/O', '外观/O', '、/O', '内饰/O', '、/O', '动力/O', '、/O', '配置/O', '等/O', '方面/O', '都/O', '传承/O', '了/O', '之前/O', '优良/O', '的/O', '传统/O', '，/O', '做工/O', '和/O', '设计/O', '也/O', '都/O', '非常/O', '有/O', '诚意/O', '。/O', '我/O', '坚信/O', '无论/O', '到/O', '了/O', '什么/O', '年代/O', '，/O', '永远/O', '是/O', '产品/O', '为王/O', '，/O', '产品/O', '力强/O', '就是/O', '硬道理/O', '，/O', '所以/O', '这/O', '次/O', '东风/B-MISC', '标致/E-MISC', '4008/O', '势必/O', '在/O', '未来/O', '紧凑/O', '级/O', 'SUV/O', '市场/O', '可以/O', '占有/O', '一席之地/O', '。/O', '在/O', '售/O', '的/O', '长安/B-FACILITY', '福特/I-FACILITY', '翼/I-FACILITY', '虎/E-FACILITY', '起/O', '售价/O', '定在/O', '了/O', '19.38万/O', '元/O', '，/O', '而/O', '产品/O', '力更强/O', '，/O', '更/O', '有/O', '诚意/O', '的/O', '东风/O', '标致/O', '4008/O', '预售/O', '价/O', '却/O', '只/O', '定/O', '在/O', '了/O', '19万/O', '元/O', '。/O', '19万/O', '元/O', '这个/O', '起/O', '售价/O', '对于/O', '东风/O', '标致/O', '4008/O', '来说/O', '，/O', '是/O', '绝对/O', '产品/O', '力要/O', '大于/O', '价格/O', '的/O', '定价/O', '，/O', '是/O', '足以/O', '让/O', '翼/O', '虎/O', '要/O', '背水一战/O', '的/O', '价格/O', '，/O', '说不定/O', '还/O', '能/O', '把/O', '翼/O', '虎/O', '逼/O', '的/O', '官降/O', '。/O', '东风/O', '标致/O', '4008/O', '给出/O', '了/O', '19万/O', '起/O', '这么/O', '有/O', '诚意/O', '的/O', '起/O', '售价/O', '，/O', '让/O', '我/O', '更加/O', '期待/O', '11月/O', '中旬/B-MISC', '的/O', '正式/O', '上市/O', '价格/O', '了/O']
公司名称	东风雪铁龙	东风雪铁龙	7	8	51	52	['据/O', '了解/O', '，/O', '未来/O', '将/O', '上市/O', '的/O', '东风/B-MISC', '雪铁龙/E-MISC', '智/O', '联网/O', '汽车/O', '将/O', '具有/O', '四/O', '大/O', '亮点/O', '，/O', '其中/O', '包括/O', '远程/O', '车辆/O', '控制/O', '、/O', '智能/O', '语音/O', '控制/O', '、/O', 'OTA/O', '(/O', 'over/O', 'the/O', 'air/O', ')/O', '空中/O', '升级/O', '实现/O', '操作/O', '系统/O', '的/O', '快速/O', '迭代/O', '以及/O', '外部/O', '智能/O', '设备/O', '接口/O', '等/O', '，/O', '并且/O', '未来/O', '东风/B-MISC', '雪铁龙/E-MISC', '智/O', '联网/O', '汽车/O', '还/O', '可以/O', '与/O', '支付/O', '宝/O', '、/O', '口碑/O', '网/O', '、/O', '大麦/O', '网/O', '等/O', '商家/O', '合作/O', '，/O', '为/O', '用户/O', '提供/O', '加油/O', '、/O', '停车/O', '、/O', '订餐/O', '、/O', '订票/O', '等/O', '付费/O', '场景/O', '的/O', '服务/O', '，/O', '从而/O', '为/O', '驾驶者/O', '和/O', '乘客/O', '提供/O', '更/O', '好/O', '的/O', '出行/O', '使用/O', '体验/O']
